0 0 0 0 0 5 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 5 0 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0  4  8 
0 0 0 0 0 5 0 5 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 5 0 3 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 1 0  1  -16 
0 0 0 0 0 5 2 4 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 4 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 1 0  2  2 
0 0 0 0 0 5 2 4 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 4 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 1  2  -4 
0 0 0 0 0 5 3 4 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 4 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 1  2  -8 
0 0 0 0 2 4 3 3 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 4 0 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0  2  -4 
0 0 0 0 3 4 3 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0  2  -8 
0 0 0 0 3 5 2 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 2 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0  2  -8 
0 0 0 0 5 5 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 4 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0  2  -4 
0 1 0 1 4 5 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 3 1 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0  2  -16 
0 1 0 1 4 5 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 3 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -16  -4 
0 1 0 2 4 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 5 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  2  -8 
0 1 1 2 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 4 5 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -2  -4 
0 0 1 3 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 4 5 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -2  4 
0 0 1 3 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
1 0 1 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  -1  -4 
