0 0 0 0 0 5 2 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 5 0 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 2 0  -2  -4 
0 0 0 0 0 5 4 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 1 0  8  8 
0 0 2 0 0 4 3 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 4 0 3 1 0 0 0 4 1 0 0 0 0 0 0 0 0 0 1 0  -2  16 
0 0 2 0 0 4 3 2 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 4 0 3 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 1  -4  8 
0 0 2 0 1 4 2 2 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -1  -2 
0 1 2 0 2 3 1 2 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -1  2 
0 2 2 1 2 3 0 1 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -3  -8 
0 2 3 0 2 3 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
2 2 3 0 2 3 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
2 2 3 0 2 3 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 1 0 0 0 1  2  -4 
2 2 3 1 2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  2  -4 
2 2 4 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
2 2 4 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
2 2 5 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
2 2 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 2  -2  -4 
3 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 1 0 0 0 0 0 1  -2  -4 
3 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 1 0 0 0 0 1 1 0 0 0 0 0  -2  -4 
3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 1 0 0 4 2 1 0 0 0 0 0 0 0 0 0 0  -2  -4 
